kdnr;geschlecht;firmenname;nachname;vorname;strasse;hausnr;zusatz;plz;ort;vorwahl;telefon;email;url;branche;beruf
"1000000047";"F";"Köschinger Getränkehalle Marion Pilz";"Achhammer";"Rosehilde";"Am Bahndamm";"38";"";"93326";"Abensberg, Hallertau";"09443";"877003";"Achhammer.Ro@yahoo.com";"http://www.Achhammer_Ro.de";"Partypersonal";""
"1000000048";"F";"Frisör Jäger";"Laue";"Philomena";"Römerstr.";"17";"b";"93326";"Abensberg, Hallertau";"09443";"599137";"Laue.Ph@onlinehome.de";"http://www.Laue_Ph.de";"Tierärzte: Fachtierärzte f. Chirurgie";""
"1000000049";"-";"Kia Motors Deutschland";"Lipka";"Hellmut";"Straubinger Str. Edeka";"";"";"93326";"Abensberg, Hallertau";"09443";"770424";"Lipka.He@onlinehome.de";"http://www.Lipka_He.de";"Personalvermittlung";""
"1000000050";"F";"Auto-Markt Peugeot";"Arold";"Goldina";"Hopfenstr.";"6";"";"93326";"Abensberg, Hallertau";"09443";"366224";"Arold.Go@gmx.de";"http://www.Arold_Go.de";"Garagenbau";""
"1000000051";"-";"Pauli´s Cafeteria";"Kubosch";"Heinzkarl";"Zum Galgenberg";"";"";"93326";"Abensberg, Hallertau";"09443";"440114";"Kubosch.He@gmx.de";"http://www.Kubosch_He.de";"Lärmschutz";""
"1000000052";"F";"Augustinum";"Hennemann";"Korinna";"Am Eichenbuckel";"6";"";"93326";"Abensberg, Hallertau";"09443";"555216";"Hennemann.Ko@onlinehome.de";"http://www.Hennemann_Ko.de";"Energetisierung";""
"1000000053";"F";"Bäckerei Albers";"Mehrle";"Aysel";"Amselweg";"";"";"93326";"Abensberg, Hallertau";"09443";"559738";"Mehrle.Ay@web.de";"http://www.Mehrle_Ay.de";"Beamer";""
"1000000054";"-";"Adreas Ba-Ka-Ge";"Hofmeister";"Silvio";"Waldstr.";"20";"";"93326";"Abensberg, Hallertau";"09443";"71186";"Hofmeister.Si@web.de";"http://www.Hofmeister_Si.de";"Videogerätevermietung u. -leasing";""
"1000000055";"F";"Luck";"Linzner";"Leopoldine";"Schwaighausener Str.";"11";"";"93326";"Abensberg, Hallertau";"09443";"877243";"Linzner.Le@onlinehome.de";"http://www.Linzner_Le.de";"Kalibrierdienste";""
"1000000056";"-";"Wegerer";"Hackl";"Veronique";"Auf dem Judenbuckel";"5";"";"93326";"Abensberg, Hallertau";"09443";"838123";"Hackl.Ve@onlinehome.de";"http://www.Hackl_Ve.de";"Liniennetzpläne";""
"1000000057";"F";"Bäckerei Alber";"Lauber";"Eva";"Sandharlanden Hochbehälter";"";"";"93326";"Abensberg, Hallertau";"09443";"960918";"Lauber.Ev@t-online.de";"http://www.Lauber_Ev.de";"Straßenreinigung";""
"1000000058";"-";"Dicken & Hilgers Elektrogrosshandel";"Janku";"Giuseppina";"Abensstr.";"";"";"93326";"Abensberg, Hallertau";"09443";"227744";"Janku.Gi@yahoo.com";"http://www.Janku_Gi.de";"Sachverständige f. Baumaschinen";""
"1000000059";"M";"schwäbische Goldverwertung";"Miskevicer";"Friedwald";"Hinterer Steinberg";"7";"";"93326";"Abensberg, Hallertau";"09443";"470210";"Miskevicer.Fr@gmail.com";"http://www.Miskevicer_Fr.de";"Welpenvermittlung";""
"1000000060";"F";"Industriegebiet Walldorf/Wiesloch";"Thimm";"Cirsten";"Schillhof";"1";"";"93326";"Abensberg, Hallertau";"09443";"474218";"Thimm.Ci@web.de";"http://www.Thimm_Ci.de";"Optoelektronik";""
"1000000061";"M";"SIMON Objekteinrichtungen";"Werner";"Klemens";"BTS an der KEH7 FlNr.195";"";"";"93326";"Abensberg, Hallertau";"09443";"234424";"Werner.Kl@gmail.com";"http://www.Werner_Kl.de";"Augenlaserbehandlung";""
"1000000062";"F";"Grünamt Stadt Mainz";"Negendanck";"Gertraute";"Tulpenstr.";"4";"";"93326";"Abensberg, Hallertau";"09443";"11955";"Negendanck.Ge@gmail.com";"http://www.Negendanck_Ge.de";"Gaststätten: Wildspezialitäten";""
"1000000063";"-";"4711 Echt Kölnisch Wasser Damensalon";"Ulac";"Gunthild";"Zum Galgenberg";"";"";"93326";"Abensberg, Hallertau";"09443";"847799";"Ulac.Gu@t-online.de";"http://www.Ulac_Gu.de";"Pferdehandel";""
"1000000064";"M";"Bäckerei Schregle";"Gerbeth";"Helmfried";"B16 Abfahrt b. Freibadweg";"";"";"93326";"Abensberg, Hallertau";"09443";"706671";"Gerbeth.He@t-online.de";"http://www.Gerbeth_He.de";"Schmieden";""
"1000000065";"-";"Video-Film-Ring";"Rudolf";"Marianne";"Kellerbachstr.";"5";"";"93326";"Abensberg, Hallertau";"09443";"944021";"Rudolf.Ma@onlinehome.de";"http://www.Rudolf_Ma.de";"Privatkliniken";""
"1000000066";"-";"Bäckerei Bergmann";"Halser";"Arnhart";"Barbaraplatz";"2";"a";"93326";"Abensberg, Hallertau";"09443";"528810";"Halser.Ar@onlinehome.de";"http://www.Halser_Ar.de";"Aurafarbfotografie";""
"1000000067";"M";"[3s]möbel Schicker";"Schicker";"Otwin";"Friedhofweg";"22";"";"93326";"Abensberg, Hallertau";"09443";"199342";"Schicker.Ot@gmail.com";"http://www.Schicker_Ot.de";"Chemische Laboratorien";""
"1000000068";"-";"Schwabe";"Ullherr";"Swanhilde";"Ziegeleistr.";"1";"c";"93326";"Abensberg, Hallertau";"09443";"241193";"Ullherr.Sw@gmail.com";"http://www.Ullherr_Sw.de";"Gaststätten: Exotische Küche";""
"1000000069";"-";"Küchen Michael Riederer";"Siepen";"Otfried";"Schlotweg";"7";"";"93326";"Abensberg, Hallertau";"09443";"827306";"Siepen.Ot@gmx.de";"http://www.Siepen_Ot.de";"Buchstaben";""
"1000000070";"F";"G. Niedeggen";"Sageder";"Hilgrun";"Weberstr.";"1";"";"93326";"Abensberg, Hallertau";"09443";"887794";"Sageder.Hi@onlinehome.de";"http://www.Sageder_Hi.de";"Verlage";""
"1000000071";"M";"Getränkehandel Fries";"Luther";"Carsten";"Sandkreppe";"21";"a";"93326";"Abensberg, Hallertau";"09443";"18568";"Luther.Ca@onlinehome.de";"http://www.Luther_Ca.de";"Kampfsportschulen";""
"1000000072";"M";"Second Glamour";"Dittenhöfer";"Sieghardt";"Amselweg";"";"";"93326";"Abensberg, Hallertau";"09443";"74592";"Dittenhöfer.Si@t-online.de";"http://www.Dittenhöfer_Si.de";"Molkereibedarf";""
"1000000073";"-";"Freilandgeflügel Tuitjer";"Landmann";"Filiz";"Am Fürst";"31";"";"93326";"Abensberg, Hallertau";"09443";"593477";"Landmann.Fi@gmx.de";"http://www.Landmann_Fi.de";"Ärzte: Biochemie FA";""
"1000000074";"F";"Bäckerei Meuser";"Zapf";"Angelika";"Kurze Str.";"1";"b";"93326";"Abensberg, Hallertau";"09443";"731592";"Zapf.An@onlinehome.de";"http://www.Zapf_An.de";"Marketing-Beratung";""
"1000000075";"F";"Steigner Babywelt";"Flohrer";"Elizabeth";"Münstererstr.";"14";"";"93326";"Abensberg, Hallertau";"09443";"556624";"Flohrer.El@t-online.de";"http://www.Flohrer_El.de";"Erdtransporte";""
"1000000076";"F";"Niemann & Blankmeister";"Loose";"Ingried";"Oskar-Schlitter-Ring";"20";"";"93326";"Abensberg, Hallertau";"09443";"759709";"Loose.In@yahoo.com";"http://www.Loose_In.de";"Aluminium u. Aluminiumhalbzeuge";""
"1000000077";"F";"Hedden";"Pfeiffer";"Geraldine";"Hopfenbachtalgruppe";"";"";"93326";"Abensberg, Hallertau";"09443";"307354";"Pfeiffer.Ge@gmx.de";"http://www.Pfeiffer_Ge.de";"Sonderteil Heim & Familie";""
"1000000078";"F";"Bäckerei Jung Filiale";"Menz";"Annabell";"Staubinger Str.";"3";"";"93326";"Abensberg, Hallertau";"09443";"141585";"Menz.An@gmail.com";"http://www.Menz_An.de";"Fernseh-Studio-Technik";""
"1000000079";"M";"Laubrock";"Sahr";"Ralph";"Kleedorfer Str.";"23";"";"93326";"Abensberg, Hallertau";"09443";"867594";"Sahr.Ra@yahoo.com";"http://www.Sahr_Ra.de";"Blockhäuser";""
"1000000080";"M";"Hoffmeyer";"Kulier";"Nils";"Waldstr.";"13";"";"93326";"Abensberg, Hallertau";"09443";"403249";"Kulier.Ni@gmail.com";"http://www.Kulier_Ni.de";"Hotels: Süd-östliche Umgebung München";""
"1000000081";"M";"Simeonsbetriebe";"Guist";"Meinhart";"Kuhweide";"3";"";"93326";"Abensberg, Hallertau";"09443";"748507";"Guist.Me@web.de";"http://www.Guist_Me.de";"Möbelrestaurierung";""
"1000000082";"-";"VIP Body Art";"Röhm";"Ilseruth";"Am Stadtgraben";"2";"";"93326";"Abensberg, Hallertau";"09443";"904923";"Röhm.Il@web.de";"http://www.Röhm_Il.de";"Holzbrennstoffe";""
"1000000083";"M";"Getränkemarkt mit Heimservice";"Scharrer";"Walbert";"Freibadstr.";"";"";"93326";"Abensberg, Hallertau";"09443";"141376";"Scharrer.Wa@web.de";"http://www.Scharrer_Wa.de";"Behördenwegweiser";""
"1000000084";"F";"Rumpelstieschen";"Bogsch";"Lieselotte";"Peter-Rosegger-Str.";"6";"";"93326";"Abensberg, Hallertau";"09443";"205775";"Bogsch.Li@t-online.de";"http://www.Bogsch_Li.de";"Fuhrparkökonomie";""
"1000000085";"M";"Schäfer’s";"Höllnsteiner";"Benedict";"Hornsteinweg";"1";"";"93326";"Abensberg, Hallertau";"09443";"208354";"Höllnsteiner.Be@onlinehome.de";"http://www.Höllnsteiner_Be.de";"Kunststoffverpackung";""
"1000000086";"-";"Milan";"Kaygorodov";"Simperta";"Osterriedergasse";"4";"";"93326";"Abensberg, Hallertau";"09443";"104106";"Kaygorodov.Si@yahoo.com";"http://www.Kaygorodov_Si.de";"Abwasserentsorgung";""
"1000000087";"-";"Backhäuschen Schlaitz";"Barowski";"Brunhilda";"Am Weiher";"1";"";"93326";"Abensberg, Hallertau";"09443";"470582";"Barowski.Br@web.de";"http://www.Barowski_Br.de";"Entrümpelungen";""
"1000000088";"M";"Flammenträume";"Bluhm";"Abraham";"Aventinusplatz";"1";"";"93326";"Abensberg, Hallertau";"09443";"106279";"Bluhm.Ab@gmx.de";"http://www.Bluhm_Ab.de";"Ärzte: Sportmedizin";""
"1000000089";"-";"Reno-Schuhe";"Wolski";"Almuth";"Schwaighausener Str.";"11";"";"93326";"Abensberg, Hallertau";"09443";"89432";"Wolski.Al@yahoo.com";"http://www.Wolski_Al.de";"Sachverständige f. Grundstücke u. Altlasten";""
"1000000090";"-";"Pelze Voigt";"Bañales";"Hannes";"Steinweg";"1";"";"93326";"Abensberg, Hallertau";"09443";"772024";"Bañales.Ha@gmx.de";"http://www.Bañales_Ha.de";"Gaststätten: Neue internationale Küche";""
"1000000091";"M";"Grammophon Salon Schumacher";"Grimm";"Friedbert";"Pfarrer-Ederer-Str.";"1";"";"93326";"Abensberg, Hallertau";"09443";"107385";"Grimm.Fr@web.de";"http://www.Grimm_Fr.de";"Segelsportartikel";""
"1000000092";"-";"Mephisto Antiquariat Galerie";"Amend";"Hadmut";"Riedererstr.";"4";"a";"93326";"Abensberg, Hallertau";"09443";"792705";"Amend.Ha@gmx.de";"http://www.Amend_Ha.de";"Schwimmbadanlagen u.-zubehör";""
"1000000093";"M";"Kieferle";"Maar";"Roderich";"Pumpwerk Kleedorf";"";"";"93326";"Abensberg, Hallertau";"09443";"181736";"Maar.Ro@t-online.de";"http://www.Maar_Ro.de";"Teppichwäschereien";""
"1000000094";"F";"Florist Kaess";"Billmann";"Lysann";"Aunkofer Str.";"50";"";"93326";"Abensberg, Hallertau";"09443";"342839";"Billmann.Ly@gmail.com";"http://www.Billmann_Ly.de";"Steuerberatung: Finanzgerichts- u. Rechtsbehelfsverfahren";""
"1000000095";"F";"Gerd Pfeiffer - Fenster, Türen, Ladeneinrichtungen";"Timm";"Gieselind";"Kirchplatz";"3";"";"93326";"Abensberg, Hallertau";"09443";"484296";"Timm.Gi@t-online.de";"http://www.Timm_Gi.de";"Mal- u. Zeichenbedarf";""
"1000000096";"-";"Schnarre";"Runz";"Sven";"Silvanerstr.";"7";"";"93326";"Abensberg, Hallertau";"09443";"313931";"Runz.Sv@onlinehome.de";"http://www.Runz_Sv.de";"Sprachreisen";""
"1000000097";"M";"Burggalerie";"Kail";"Ehrmut";"Abensstr.";"";"";"93326";"Abensberg, Hallertau";"09443";"629407";"Kail.Eh@t-online.de";"http://www.Kail_Eh.de";"Freizeit";""
"1000000098";"F";"Real NonFood und Getränke";"Liebscher";"Eva";"Staatstr.2144/Steinweg";"";"";"93326";"Abensberg, Hallertau";"09443";"388916";"Liebscher.Ev@gmx.de";"http://www.Liebscher_Ev.de";"Versicherungsmathematik";""
"1000000099";"M";"Hossek";"Motz";"Emanuel";"Aunkofer Str.";"50";"b";"93326";"Abensberg, Hallertau";"09443";"769380";"Motz.Em@gmail.com";"http://www.Motz_Em.de";"Gaststätten: Gutbürgerliche Küche";""
"1000000100";"M";"Sieger Office";"Nitsch";"Runald";"Kirchplatz.";"2";"";"93326";"Abensberg, Hallertau";"09443";"913320";"Nitsch.Ru@gmail.com";"http://www.Nitsch_Ru.de";"Energieeffizienzberatung";""
"1000000101";"F";"Uhrmacher Bünger";"Bartz";"Vreneli";"Friedhofweg";"8";"";"93326";"Abensberg, Hallertau";"09443";"160586";"Bartz.Vr@yahoo.com";"http://www.Bartz_Vr.de";"Naturstein-Bearbeitung";""
"1000000102";"-";"Siemens Standort MchH Süd";"Schenkenfelder";"Burkhardt";"Sandharlandener Weg";"2";"b";"93326";"Abensberg, Hallertau";"09443";"99006";"Schenkenfelder.Bu@onlinehome.de";"http://www.Schenkenfelder_Bu.de";"Maschinenmesser";""
"1000000103";"-";"Biesterfeldt-Schmidt";"Heid";"Svenja";"Haslangstr.";"10";"b";"93326";"Abensberg, Hallertau";"09443";"467793";"Heid.Sv@yahoo.com";"http://www.Heid_Sv.de";"Müllentsorgung";""
"1000000104";"F";"TOP Geränkemarkt";"Zisler";"Lena";"Kornblumenstr.";"2";"";"93326";"Abensberg, Hallertau";"09443";"107016";"Zisler.Le@onlinehome.de";"http://www.Zisler_Le.de";"Gaststätten: Mediterrane Küche";""
"1000000105";"M";"Baumarkt Steeg";"Junk";"Witmar";"Am Sportplatz.";"1";"";"93326";"Abensberg, Hallertau";"09443";"662429";"Junk.Wi@web.de";"http://www.Junk_Wi.de";"Kosmetikherstellung";""
"1000000106";"M";"Moebler";"Schröter";"Christfried";"Pfarrer-Adam-Rottler-Str.";"2";"";"93326";"Abensberg, Hallertau";"09443";"278610";"Schröter.Ch@gmx.de";"http://www.Schröter_Ch.de";"Beräumungen";""
"1000000107";"M";"Sutter Werksverkauf";"Jungmann";"Reinfried";"Am Linderfeld";"7";"c";"93326";"Abensberg, Hallertau";"09443";"707844";"Jungmann.Re@onlinehome.de";"http://www.Jungmann_Re.de";"Holzbearbeitungswerkzeuge";""
"1000000108";"M";"Bastelstübchen";"Schott";"Augustin";"Klostergut";"1";"c";"93326";"Abensberg, Hallertau";"09443";"646639";"Schott.Au@onlinehome.de";"http://www.Schott_Au.de";"Wandheizungen";""
"1000000109";"M";"Gewerbegebiet Daskow";"Strahlhuber";"Heilwig";"Am Fürst";"23";"";"93326";"Abensberg, Hallertau";"09443";"102814";"Strahlhuber.He@onlinehome.de";"http://www.Strahlhuber_He.de";"Sachverständige f. Trockenbau";""
"1000000110";"-";"Renata Späte Bierverlag Thiel";"Dobeneck";"Alrik";"Rieslingstr.";"6";"b";"93326";"Abensberg, Hallertau";"09443";"109929";"Dobeneck.Al@yahoo.com";"http://www.Dobeneck_Al.de";"CD-Produktion";""
"1000000111";"M";"Kania";"Riedmeier";"Patrick";"Buchenstr.";"3";"b";"93326";"Abensberg, Hallertau";"09443";"255113";"Riedmeier.Pa@web.de";"http://www.Riedmeier_Pa.de";"Biologische Lebensmittel";""
"1000000112";"F";"4&2 Radcenter";"Nikolay";"Ewalda";"Birkhahnweg";"1";"";"93326";"Abensberg, Hallertau";"09443";"614093";"Nikolay.Ew@t-online.de";"http://www.Nikolay_Ew.de";"Glas (hohl)";""
"1000000113";"M";"Sams Tattoo";"Krafft";"Falkhard";"Sandharlanden Hochbehälter";"";"";"93326";"Abensberg, Hallertau";"09443";"461602";"Krafft.Fa@gmail.com";"http://www.Krafft_Fa.de";"Besorgungsfahrten";""
